year,month,mslp_anomaly,mslp_standardised,soi
1994,02,0.4,0.3,0.3
1994,03,-1.1,-0.7,-0.7
1994,04,-2.1,-1.3,-1.3
1994,05,-1.1,-0.7,-0.7
1994,06,-0.7,-0.4,-0.4
1994,07,-2.2,-1.3,-1.3
1994,08,-2.0,-1.2,-1.2
1994,09,-2.6,-1.6,-1.6
1994,10,-1.9,-1.1,-1.1
1994,11,-0.9,-0.6,-0.6
1994,12,-2.0,-1.2,-1.2
1995,01,-0.7,-0.4,-0.4
1995,02,-0.2,-0.1,-0.1
1995,03,1.2,0.8,0.8
1995,04,-1.1,-0.7,-0.7
1995,05,-0.6,-0.4,-0.4
1995,06,0.2,0.1,0.1
1995,07,0.7,0.4,0.4
1995,08,0.5,0.3,0.3
1995,09,0.4,0.3,0.3
1995,10,0.0,0.0,0.0
1995,11,0.1,0.0,0.0
1995,12,-0.8,-0.5,-0.5
1996,01,1.6,1.0,1.0
1996,02,0.4,0.3,0.3
1996,03,1.9,1.1,1.1
1996,04,1.3,0.8,0.8
1996,05,0.5,0.3,0.3
1996,06,1.9,1.2,1.2
1996,07,1.1,0.7,0.7
1996,08,1.2,0.7,0.7
1996,09,1.0,0.6,0.6
1996,10,1.0,0.6,0.6
1996,11,-0.1,-0.1,-0.1
1996,12,1.5,0.9,0.9
1997,01,0.8,0.5,0.5
1997,02,2.9,1.7,1.7
1997,03,-0.7,-0.4,-0.4
1997,04,-1.0,-0.6,-0.6
1997,05,-2.2,-1.3,-1.3
1997,06,-2.3,-1.4,-1.4
1997,07,-1.2,-0.8,-0.8
1997,08,-2.4,-1.4,-1.4
1997,09,-2.4,-1.4,-1.4
1997,10,-2.4,-1.5,-1.5
1997,11,-2.0,-1.2,-1.2
1997,12,-1.6,-1.0,-1.0
1998,01,-4.4,-2.7,-2.7
1998,02,-3.4,-2.0,-2.0
1998,03,-4.0,-2.4,-2.4
1998,04,-2.4,-1.4,-1.4
1998,05,0.4,0.3,0.3
1998,06,1.6,1.0,1.0
1998,07,2.0,1.2,1.2
1998,08,1.9,1.2,1.2
1998,09,1.7,1.0,1.0
1998,10,1.8,1.1,1.1
1998,11,1.7,1.0,1.0
1998,12,2.3,1.4,1.4
1999,01,3.0,1.8,1.8
1999,02,1.6,1.0,1.0
1999,03,2.1,1.3,1.3
1999,04,2.3,1.4,1.4
1999,05,0.4,0.2,0.2
1999,06,0.4,0.3,0.3
1999,07,0.9,0.5,0.5
1999,08,0.6,0.4,0.4
1999,09,-0.1,-0.1,-0.1
1999,10,1.6,1.0,1.0
