year,month,soi
1924,08,0.882
1924,09,0.744
1924,10,0.626
1924,11,1.022
1924,12,0.482
1925,01,0.544
1925,02,1.224
1925,03,1.522
1925,04,1.484
1925,05,-0.297
1925,06,-0.819
1925,07,-1.313
1925,08,-1.241
1925,09,-0.657
1925,10,-1.496
1925,11,-0.968
1925,12,-0.892
1926,01,-0.619
1926,02,-1.556
1926,03,-1.646
1926,04,-0.752
1926,05,-0.284
1926,06,-1.047
1926,07,-0.086
1926,08,-0.92
1926,09,0.117
1926,10,0.244
1926,11,0.071
1926,12,0.587
1927,01,0.513
1927,02,0.006
1927,03,1.841
1927,04,0.746
1927,05,0.624
1927,06,0.913
1927,07,0.167
1927,08,-0.749
1927,09,-0.073
1927,10,-0.55
1927,11,-0.914
1927,12,0.747
1928,01,-1.219
1928,02,0.955
1928,03,1.376
1928,04,1.442
1928,05,-0.085
1928,06,-1.151
1928,07,-0.02
1928,08,0.795
1928,09,0.744
1928,10,0.766
1928,11,0.212
1928,12,1.204
1929,01,1.738
1929,02,1.686
1929,03,0.407
1929,04,0.577
1929,05,-1.2
1929,06,0.064
1929,07,0.207
1929,08,-0.17
1929,09,-0.073
1929,10,0.803
1929,11,0.952
1929,12,0.531
1930,01,1.306
1930,02,0.684
1930,03,0.039
1930,04,-0.33
1930,05,0.472
1930,06,-0.839
1930,07,-0.399
1930,08,-0.385
1930,09,-0.719
1930,10,0.461
1930,11,0.304
1930,12,-0.271
1931,01,0.632
1931,02,-1.606
1931,03,0.445
1931,04,1.104
1931,05,1.659
1931,06,2.232
1931,07,0.979
1931,08,-0.504
1931,09,0.353
1931,10,-1.002
1931,11,-0.368
1931,12,0.806
1932,01,0.207
1932,02,-0.359
1932,03,-0.723
1932,04,-2.755
1932,05,0.087
1932,06,-0.263
1932,07,-1.522
1932,08,-0.9
1932,09,-0.863
1932,10,-0.687
1932,11,-0.612
1932,12,0.25
1933,01,-1.219
1933,02,0.339
1933,03,-0.347
1933,04,0.472
1933,05,0.738
1933,06,-0.679
1933,07,0.376
1933,08,-0.234
1933,09,0.168
1933,10,0.174
1933,11,0.53
1933,12,0.811
1934,01,0.618
1934,02,-0.061
1934,03,-0.117
1934,04,0.641
1934,05,-0.756
1934,06,1.121
1934,07,0.299
1934,08,-2.444
1934,09,-0.644
1934,10,0.381
1934,11,1.213
1934,12,-0.38
1935,01,0.641
1935,02,-0.558
1935,03,1.205
1935,04,0.366
1935,05,-0.464
1935,06,-0.423
1935,07,-0.02
1935,08,0.001
1935,09,0.59
1935,10,0.596
1935,11,0.303
1935,12,-0.555
1936,01,-0.305
1936,02,-0.044
1936,03,0.052
1936,04,2.813
1936,05,0.267
1936,06,-0.367
1936,07,0.431
1936,08,-0.996
1936,09,0.232
1936,10,-0.112
1936,11,-1.548
1936,12,-0.035
1937,01,0.946
1937,02,-0.594
1937,03,0.555
1937,04,0.176
1937,05,0.194
1937,06,0.221
1937,07,-0.531
1937,08,0.204
1937,09,0.042
1937,10,-0.394
1937,11,-0.456
1937,12,0.643
1938,01,0.754
1938,02,0.208
1938,03,-0.552
1938,04,0.387
1938,05,1.176
1938,06,2.009
1938,07,1.867
1938,08,1.243
1938,09,0.686
1938,10,1.367
1938,11,-0.071
1938,12,1.423
1939,01,1.739
1939,02,0.656
1939,03,1.14
1939,04,1.126
1939,05,-0.098
1939,06,-0.367
1939,07,0.839
1939,08,-0.108
1939,09,-0.95
1939,10,-1.707
1939,11,-0.964
1939,12,-1.072
1940,01,-0.056
1940,02,-0.56
1940,03,-1.335
1940,04,-0.941
1940,05,-1.393
1940,06,-2.488
1940,07,-1.502
1940,08,-2.11
1940,09,-1.947
1940,10,-1.801
1940,11,-0.773
1940,12,-3.38
1941,01,-1.131
1941,02,-1.6
1941,03,-1.333
1941,04,-1.195
1941,05,-0.749
1941,06,-1.888
1941,07,-1.997
1941,08,-2.197
1941,09,-0.826
1941,10,-2.286
1941,11,-1.092
1941,12,-1.068
1942,01,-1.508
1942,02,-0.515
1942,03,-0.799
1942,04,-0.52
1942,05,0.247
1942,06,0.797
1942,07,-0.078
1942,08,0.298
1942,09,0.815
1942,10,0.696
1942,11,-0.642
1942,12,1.424
1943,01,0.879
1943,02,0.913
1943,03,0.291
1943,04,1.589
1943,05,0.252
1943,06,-1.127
1943,07,0.302
1943,08,0.691
1943,09,0.527
1943,10,0.794
1943,11,0.215
1943,12,-1.055
1944,01,-0.953
1944,02,0.3
1944,03,0.464
1944,04,-0.541
1944,05,0.015
1944,06,-0.608
1944,07,-0.848
1944,08,0.13
1944,09,0.217
1944,10,-1.03
1944,11,-0.836
1944,12,0.364
1945,01,0.434
1945,02,0.535
1945,03,1.33
1945,04,-0.731
1945,05,0.023
1945,06,0.797
1945,07,0.39
1945,08,1.063
1945,09,0.802
1945,10,0.211
1945,11,-0.447
1945,12,0.633
1946,01,-0.325
1946,02,0.294
1946,03,-0.385
1946,04,-1.026
1946,05,-1.192
1946,06,-1.323
1946,07,-0.985
1946,08,-0.635
1946,09,-1.575
1946,10,-1.384
1946,11,-0.248
1946,12,-0.714
1947,01,-0.633
1947,02,-0.564
1947,03,1.127
1947,04,-0.562
1947,05,-1.243
1947,06,0.165
1947,07,0.979
1947,08,0.657
1947,09,1.097
1947,10,-0.351
1947,11,0.753
1947,12,0.471
1948,01,-0.429
1948,02,-0.406
1948,03,-0.6
1948,04,0.261
1948,05,0.345
1948,06,-0.759
1948,07,0.095
1948,08,-0.546
1948,09,-0.76
1948,10,0.537
1948,11,0.186
1948,12,-0.719
1949,01,-0.862
1949,02,0.05
1949,03,0.494
1949,04,0.282
1949,05,-0.684
1949,06,-1.599
1949,07,-0.149
1949,08,-0.635
1949,09,0.169
1949,10,0.385
1949,11,-0.766
1949,12,0.769
1950,01,0.536
1950,02,1.581
1950,03,1.788
1950,04,1.674
1950,05,0.554
1950,06,3.057
1950,07,2.137
1950,08,1.142
1950,09,0.632
1950,10,1.682
1950,11,0.893
1950,12,2.461
1951,01,1.32
1951,02,0.474
1951,03,-0.706
1951,04,-1.026
1951,05,-1.293
1951,06,-0.522
1951,07,-1.33
1951,08,-0.749
1951,09,-1.168
1951,10,-1.439
1951,11,-0.985
1951,12,-0.901
1952,01,-0.925
1952,02,-0.826
1952,03,-0.024
1952,04,-0.731
1952,05,0.668
1952,06,0.777
1952,07,0.511
1952,08,-0.383
1952,09,-0.239
1952,10,0.117
1952,11,-0.224
1952,12,-1.4
1953,01,0.123
1953,02,-0.717
1953,03,-0.786
1953,04,-0.182
1953,05,-2.717
1953,06,-0.471
1953,07,-0.058
1953,08,-1.892
1953,09,-1.353
1953,10,-0.183
1953,11,-0.364
1953,12,-0.611
1954,01,0.572
1954,02,-0.518
1954,03,-0.307
1954,04,0.409
1954,05,0.146
1954,06,-0.495
1954,07,0.362
1954,08,0.899
1954,09,0.168
1954,10,0.085
1954,11,0.162
1954,12,1.315
1955,01,-0.678
1955,02,1.305
1955,03,0.128
1955,04,-0.815
1955,05,0.876
1955,06,1.626
1955,07,1.795
1955,08,1.379
1955,09,1.395
1955,10,1.514
1955,11,1.382
1955,12,0.909
1956,01,1.156
1956,02,1.103
1956,03,0.893
1956,04,1.062
1956,05,1.441
1956,06,1.257
1956,07,1.187
1956,08,1.05
1956,09,0.061
1956,10,1.921
1956,11,0.112
1956,12,0.989
1957,01,0.434
1957,02,-0.361
1957,03,-0.368
1957,04,0.05
1957,05,-1.179
1957,06,-0.367
1957,07,0.178
1957,08,-1.078
1957,09,-1.006
1957,10,-0.087
1957,11,-1.229
1957,12,-0.438
1958,01,-1.893
1958,02,-0.776
1958,03,-0.315
1958,04,0.029
1958,05,-1.391
1958,06,-0.266
1958,07,0.23
1958,08,0.721
1958,09,-0.344
1958,10,-0.558
1958,11,-0.612
1958,12,-0.838
1959,01,-0.939
1959,02,-1.497
1959,03,0.774
1959,04,0.345
1959,05,0.139
1959,06,-0.955
1959,07,-0.465
1959,08,-0.677
1959,09,-0.005
1959,10,0.34
1959,11,0.902
1959,12,0.815
1960,01,-0.047
1960,02,-0.247
1960,03,0.474
1960,04,0.788
1960,05,0.303
1960,06,-0.471
1960,07,0.497
1960,08,0.526
1960,09,0.653
1960,10,-0.196
1960,11,0.605
1960,12,0.633
1961,01,-0.429
1961,02,0.585
1961,03,-2.473
1961,04,1.147
1961,05,0.18
1961,06,-0.527
1961,07,0.184
1961,08,-0.162
1961,09,0.107
1961,10,-0.73
1961,11,0.68
1961,12,1.31
1962,01,1.716
1962,02,-0.414
1962,03,-0.322
1962,04,0.303
1962,05,1.104
1962,06,0.369
1962,07,-0.037
1962,08,0.258
1962,09,0.525
1962,10,0.948
1962,11,0.273
1962,12,-0.098
1963,01,0.799
1963,02,0.261
1963,03,0.66
1963,04,0.514
1963,05,0.139
1963,06,-1.3
1963,07,-0.132
1963,08,-0.432
1963,09,-0.597
1963,10,-1.456
1963,11,-0.93
1963,12,-1.352
1964,01,-0.525
1964,02,-0.129
1964,03,0.711
1964,04,1.779
1964,05,-0.019
1964,06,0.717
1964,07,0.618
1964,08,1.32
1964,09,1.287
1964,10,1.259
1964,11,-0.058
1964,12,-0.494
1965,01,-0.523
1965,02,0.009
1965,03,0.242
1965,04,-1.342
1965,05,-0.034
1965,06,-1.632
1965,07,-2.321
1965,08,-1.365
1965,09,-1.414
1965,10,-1.218
1965,11,-1.858
1965,12,0.022
1966,01,-1.355
1966,02,-0.536
1966,03,-1.747
1966,04,-0.899
1966,05,-0.715
1966,06,0.144
1966,07,-0.149
1966,08,0.189
1966,09,-0.239
1966,10,-0.325
1966,11,-0.202
1966,12,-0.607
1967,01,1.524
1967,02,1.199
1967,03,0.648
1967,04,-0.119
1967,05,-0.406
1967,06,0.673
1967,07,0.175
1967,08,0.439
1967,09,0.439
1967,10,-0.169
1967,11,-0.567
1967,12,-0.777
1968,01,0.473
1968,02,0.773
1968,03,-0.556
1968,04,-0.309
1968,05,1.212
1968,06,1.273
1968,07,0.767
1968,08,-0.204
1968,09,-0.358
1968,10,-0.353
1968,11,-0.442
1968,12,0.126
1969,01,-1.356
1969,02,-0.853
1969,03,-0.026
1969,04,-0.899
1969,05,-0.777
1969,06,-0.239
1969,07,-0.727
1969,08,-0.707
1969,09,-1.1
1969,10,-1.355
1969,11,-0.177
1969,12,0.243
1970,01,-1.256
1970,02,-1.219
1970,03,0.058
1970,04,-0.562
1970,05,0.038
1970,06,1.017
1970,07,-0.52
1970,08,0.305
1970,09,1.177
1970,10,0.741
1970,11,1.85
1970,12,1.832
1971,01,0.233
1971,02,1.442
1971,03,1.976
1971,04,2.581
1971,05,0.882
1971,06,0.212
1971,07,0.167
1971,08,1.421
1971,09,1.512
1971,10,1.752
1971,11,0.555
1971,12,0.145
1972,01,0.329
1972,02,0.673
1972,03,0.128
1972,04,-0.456
1972,05,-1.522
1972,06,-1.683
1972,07,-1.844
1972,08,-1.115
1972,09,-1.477
1972,10,-1.134
1972,11,-0.384
1972,12,-1.47
1973,01,-0.429
1973,02,-1.466
1973,03,-0.064
1973,04,-0.372
1973,05,0.252
1973,06,1.222
1973,07,0.626
1973,08,1.179
1973,09,1.271
1973,10,0.85
1973,11,2.847
1973,12,1.762
1974,01,2.163
1974,02,1.487
1974,03,2.105
1974,04,1.273
1974,05,1.238
1974,06,0.141
1974,07,1.229
1974,08,0.555
1974,09,1.163
1974,10,0.723
1974,11,-0.423
1974,12,-0.144
1975,01,-0.625
1975,02,0.459
1975,03,1.135
1975,04,1.484
1975,05,0.51
1975,06,1.685
1975,07,2.129
1975,08,2.03
1975,09,2.151
1975,10,1.67
1975,11,1.246
1975,12,2.054
1976,01,1.187
1976,02,1.185
1976,03,1.334
1976,04,0.24
1976,05,0.501
1976,06,-0.159
1976,07,-1.238
1976,08,-1.459
1976,09,-1.292
1976,10,0.13
1976,11,0.761
1976,12,-0.48
1977,01,-0.393
1977,02,0.647
1977,03,-1.202
1977,04,-1.173
1977,05,-1.185
1977,06,-2.327
1977,07,-1.453
1977,08,-1.422
1977,09,-0.946
1977,10,-1.386
1977,11,-1.556
1977,12,-1.228
1978,01,-0.48
1978,02,-2.632
1978,03,-0.818
1978,04,-0.878
1978,05,1.498
1978,06,0.402
1978,07,0.529
1978,08,0.12
1978,09,0.058
1978,10,-0.76
1978,11,-0.281
1978,12,-0.21
1979,01,-0.452
1979,02,0.608
1979,03,-0.488
1979,04,-0.646
1979,05,0.459
1979,06,0.58
1979,07,-0.764
1979,08,-0.692
1979,09,0.113
1979,10,-0.367
1979,11,-0.612
1979,12,-0.896
1980,01,0.275
1980,02,-0.017
1980,03,-1.065
1980,04,-1.595
1980,05,-0.349
1980,06,-0.679
1980,07,-0.144
1980,08,-0.056
1980,09,-0.538
1980,10,-0.337
1980,11,-0.472
1980,12,-0.209
1981,01,0.272
1981,02,-0.469
1981,03,-2.009
1981,04,-0.604
1981,05,0.817
1981,06,1.281
1981,07,0.873
1981,08,0.404
1981,09,0.52
1981,10,-0.705
1981,11,0.075
1981,12,0.405
1982,01,0.867
1982,02,-0.034
1982,03,0.052
1982,04,-0.456
1982,05,-0.735
1982,06,-2.488
1982,07,-1.89
1982,08,-2.662
1982,09,-2.122
1982,10,-2.204
1982,11,-3.248
1982,12,-2.476
1983,01,-3.362
1983,02,-3.463
1983,03,-3.255
1983,04,-1.405
1983,05,0.787
1983,06,-0.584
1983,07,-0.704
1983,08,-0.365
1983,09,0.913
1983,10,0.34
1983,11,-0.115
1983,12,-0.167
1984,01,-0.033
1984,02,0.434
1984,03,-0.847
1984,04,0.387
1984,05,-0.034
1984,06,-1.219
1984,07,0.121
1984,08,0.098
1984,09,0.171
1984,10,-0.607
1984,11,0.117
1984,12,-0.239
1985,01,-0.548
1985,02,0.787
1985,03,0.2
1985,04,1.421
1985,05,-0.146
1985,06,-1.395
1985,07,-0.198
1985,08,0.662
1985,09,0.002
1985,10,-0.76
1985,11,-0.348
1985,12,0.124
1986,01,0.824
1986,02,-1.283
1986,03,-0.085
1986,04,0.113
1986,05,-0.635
1986,06,1.014
1986,07,0.241
